# --------------------------------------------------------------------------------													
# 													
# Copyright (c) 2000-2020. All rights reserved													
# 													
# Time Period In Log (days.hh:mm:ss): 0.06:29:50													
# 													
# Number of log entries: 1000													
# 													
# --------------------------------------------------------------------------------													
SessionName (JobName)	SessionVersion	RunName	RunNumber	TimestampLocal	TimestampUtc	EventSource	FileNumber	NumberOfSamples	NumberOfChannels	FileSizeBytes	TimeBreak	EventMessage	CreateDT
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:50	23-06-2020 8:50	AcquisitionSystem	10	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0010_S20200623_144654.686+0500_0000.sgy	23-06-2020 9:04
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:50	23-06-2020 8:50	AcquisitionSystem	11	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0011_S20200623_144709.686+0500_0000.sgy	23-06-2020 9:04
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:51	23-06-2020 8:51	AcquisitionSystem	12	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0012_S20200623_144724.686+0500_0000.sgy	23-06-2020 9:04
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:51	23-06-2020 8:51	AcquisitionSystem	13	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0013_S20200623_144739.686+0500_0000.sgy	23-06-2020 9:05
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:51	23-06-2020 8:51	AcquisitionSystem	14	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0014_S20200623_144754.686+0500_0000.sgy	23-06-2020 9:05
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:51	23-06-2020 8:51	AcquisitionSystem	15	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0015_S20200623_144809.686+0500_0000.sgy	23-06-2020 9:05
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:52	23-06-2020 8:52	AcquisitionSystem	16	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0016_S20200623_144824.686+0500_0000.sgy	23-06-2020 9:05
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:52	23-06-2020 8:52	AcquisitionSystem	17	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0017_S20200623_144839.686+0500_0000.sgy	23-06-2020 9:06
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:52	23-06-2020 8:52	User						Fluid 1 rate 9 l/min	23-06-2020 9:06
Lab_Inflow	8	Inflow_1.5cP_WC0_run1	8	23-06-2020 13:52	23-06-2020 8:52	AcquisitionSystem	18	150000	148	88839120		Inflow_1.5cP_WC0_run1_008_F0018_S20200623_144854.686+0500_0000.sgy	23-06-2020 9:06
